district,year,office,candidate,party,writein,candidatevotes,totalvotes
pennsylvania,2016,US Senate,Patrick J. Toomey,republican,FALSE,2951702,6051856
south_carolina,2016,US Senate,Thomas Dixon,democrat,FALSE,704540,2049893
south_carolina,2016,US Senate,Bill Bledsoe,libertarian,FALSE,24830,2049893
south_carolina,2016,US Senate,Thomas Dixon,working families,FALSE,37610,2049893
south_carolina,2016,US Senate,Bill Bledsoe,constitution,FALSE,12652,2049893
south_carolina,2016,US Senate,Tim Scott,republican,FALSE,1241609,2049893
south_carolina,2016,US Senate,NA,NA,TRUE,1857,2049893
south_carolina,2016,US Senate,Rebel Michael Scarborough,american,FALSE,11923,2049893
south_carolina,2016,US Senate,Thomas Dixon,green,FALSE,14872,2049893
south_dakota,2016,US Senate,John R. Thune,republican,FALSE,265516,369656
south_dakota,2016,US Senate,Jay Williams,democrat,FALSE,104140,369656
utah,2016,US Senate,Mike Lee,republican,FALSE,760220,1115583
utah,2016,US Senate,Bill Barron,none,FALSE,26166,1115583
utah,2016,US Senate,Stoney Fonua,independent american,FALSE,27339,1115583
utah,2016,US Senate,Misty K. Snow,democrat,FALSE,301858,1115583
vermont,2016,US Senate,Void Vote,,FALSE,466,320467
vermont,2016,US Senate,Scott Milne,republican,FALSE,103637,320467
vermont,2016,US Senate,Cris Ericson,united states marijuana,FALSE,9156,320467
vermont,2016,US Senate,Jerry Trudell,independent,FALSE,5223,320467
vermont,2016,US Senate,Pete Diamondstone,liberty union,FALSE,3241,320467
vermont,2016,US Senate,Blank Vote,,FALSE,6192,320467
vermont,2016,US Senate,NA,NA,TRUE,309,320467
vermont,2016,US Senate,Patrick J. Leahy,democrat,FALSE,192243,320467
washington,2016,US Senate,Chris Vance,republican,FALSE,1329338,3243317
washington,2016,US Senate,Patty Murray,democrat,FALSE,1913979,3243317
wisconsin,2016,US Senate,Russ Feingold,democrat,FALSE,1380335,2948741
wisconsin,2016,US Senate,Philip N. Anderson,libertarian,FALSE,87531,2948741
wisconsin,2016,US Senate,NA,NA,TRUE,8,2948741
wisconsin,2016,US Senate,Ron Johnson,republican,FALSE,1479471,2948741
wisconsin,2016,US Senate,scatter,,FALSE,1396,2948741
arizona,2018,US Senate,Martha McSally,republican,FALSE,1135200,2384308
arizona,2018,US Senate,Kyrsten Sinema,democrat,FALSE,1191100,2384308
arizona,2018,US Senate,Angela Green,green,FALSE,57442,2384308
arizona,2018,US Senate,NA,NA,TRUE,566,2384308
california,2018,US Senate,Dianne Feinstein,democrat,FALSE,6019422,11113364
california,2018,US Senate,Kevin De Leon,democrat,FALSE,5093942,11113364
connecticut,2018,US Senate,Christopher S Murphy,democrat,FALSE,787685,1386840
connecticut,2018,US Senate,Matthew Corey,republican,FALSE,545717,1386840
connecticut,2018,US Senate,Christopher S Murphy,working families,FALSE,37894,1386840
connecticut,2018,US Senate,Richard Lion,libertarian,FALSE,8838,1386840
connecticut,2018,US Senate,Jeff Russell,green,FALSE,6618,1386840
connecticut,2018,US Senate,NA,NA,TRUE,88,1386840
delaware,2018,US Senate,Thomas R Carper,democrat,FALSE,217385,362592
delaware,2018,US Senate,Robert B Arlett,republican,FALSE,137127,362592
delaware,2018,US Senate,Demitri G Theodoropoulos,green,FALSE,4170,362592
delaware,2018,US Senate,Nadine M Frost,libertarian,FALSE,3910,362592
florida,2018,US Senate,Rick Scott,republican,FALSE,4099505,8190005
florida,2018,US Senate,Bill Nelson,democrat,FALSE,4089472,8190005
florida,2018,US Senate,NA,NA,TRUE,1028,8190005
hawaii,2018,US Senate,Mazie K. Hirono,democrat,FALSE,276316,388351
hawaii,2018,US Senate,Ron Curtis,republican,FALSE,112035,388351
indiana,2018,US Senate,Mike Braun,republican,FALSE,1158000,2282565
indiana,2018,US Senate,Joe Donnelly,democrat,FALSE,1023553,2282565
indiana,2018,US Senate,Lucy M. Brenton,libertarian,FALSE,100942,2282565
indiana,2018,US Senate,NA,NA,TRUE,70,2282565
maine,2018,US Senate,Eric L. Brakey,republican,FALSE,223502,634409
maine,2018,US Senate,"Angus S. King, Jr.",independent,FALSE,344575,634409
maine,2018,US Senate,Zak Ringelstein,democrat,FALSE,66268,634409
maine,2018,US Senate,Others,NA,FALSE,64,634409
maryland,2018,US Senate,Tony Campbell,republican,FALSE,697017,2299889
maryland,2018,US Senate,Ben Cardin,democrat,FALSE,1491614,2299889
maryland,2018,US Senate,Arvin Vohra,libertarian,FALSE,22943,2299889
maryland,2018,US Senate,Neal Simon,unaffiliated,FALSE,85964,2299889
maryland,2018,US Senate,NA,NA,TRUE,2351,2299889
massachusetts,2018,US Senate,Elizabeth A. Warren,democrat,FALSE,1633371,2707090
massachusetts,2018,US Senate,Geoff Diehl,republican,FALSE,979210,2707090
massachusetts,2018,US Senate,Shiva Ayyadurai,unenrolled,FALSE,91710,2707090
massachusetts,2018,US Senate,Others,NA,FALSE,2799,2707090
michigan,2018,US Senate,John James,republican,FALSE,1938818,4237271
michigan,2018,US Senate,Debbie Stabenow,democrat,FALSE,2214478,4237271
michigan,2018,US Senate,George E. Huffman III,us taxpayers,FALSE,27251,4237271
michigan,2018,US Senate,Marcia Squier,green,FALSE,40204,4237271
michigan,2018,US Senate,John Howard Wilhelm,natural law,FALSE,16502,4237271
michigan,2018,US Senate,NA,NA,TRUE,18,4237271
minnesota,2018,US Senate,Jim Newberger,republican,FALSE,940437,5184235
minnesota,2018,US Senate,Amy Klobuchar,democratic-farmer-labor,FALSE,1566174,5184235
minnesota,2018,US Senate,Dennis Schuller,legal marijuana now,FALSE,66236,5184235
minnesota,2018,US Senate,Paula M Overby,minnesota green,FALSE,23101,5184235
minnesota,2018,US Senate,NA,NA,TRUE,931,5184235
minnesota,2018,US Senate,Karin Housley,republican,FALSE,1095777,5184235
minnesota,2018,US Senate,Tina Smith,democratic-farmer-labor,FALSE,1370540,5184235
minnesota,2018,US Senate,Sarah Wellington,legal marijuana now,FALSE,95614,5184235
minnesota,2018,US Senate,Jerry Trooien,unaffiliated,FALSE,24324,5184235
minnesota,2018,US Senate,NA,NA,TRUE,1101,5184235
mississippi,2018,US Senate,David Baria,democrat,FALSE,369567,1843803
mississippi,2018,US Senate,Roger F. Wicker,republican,FALSE,547619,1843803
mississippi,2018,US Senate,Danny Bedwell,libertarian,FALSE,12981,1843803
mississippi,2018,US Senate,Shawn O'Hara,reform,FALSE,6048,1843803
mississippi,2018,US Senate,Cindy Hyde-Smith,republican,FALSE,486769,1843803
mississippi,2018,US Senate,Mike Espy,democrat,FALSE,420819,1843803
missouri,2018,US Senate,Josh Hawley,republican,FALSE,1254927,2442289
missouri,2018,US Senate,Claire McCaskill,democrat,FALSE,1112935,2442289
missouri,2018,US Senate,Japheth Campbell,libertarian,FALSE,27316,2442289
missouri,2018,US Senate,Jo Crain,green,FALSE,12706,2442289
missouri,2018,US Senate,Craig O'Dear,independent,FALSE,34398,2442289
missouri,2018,US Senate,NA,NA,TRUE,7,2442289
montana,2018,US Senate,Jon Tester,democrat,FALSE,253876,504384
montana,2018,US Senate,Rick Breckenridge,libertarian,FALSE,14545,504384
montana,2018,US Senate,Matt Rosendale,republican,FALSE,235963,504384
nebraska,2018,US Senate,Deb Fischer,republican,FALSE,403151,698883
nebraska,2018,US Senate,Jane Raybould,democrat,FALSE,269917,698883
nebraska,2018,US Senate,Jim Schultz,libertarian,FALSE,25349,698883
nebraska,2018,US Senate,NA,NA,TRUE,466,698883
nevada,2018,US Senate,Jacky Rosen,democrat,FALSE,490071,972132
nevada,2018,US Senate,Dean Heller,republican,FALSE,441202,972132
nevada,2018,US Senate,None of these Candidates,NA,FALSE,15303,972132
nevada,2018,US Senate,Barry Michaels,independent,FALSE,9269,972132
nevada,2018,US Senate,Tim Hagan,libertarian,FALSE,9196,972132
nevada,2018,US Senate,Kamau A. Bakari,independent american,FALSE,7091,972132
new_jersey,2018,US Senate,Robert Menendez,democrat,FALSE,1711654,3169310
new_jersey,2018,US Senate,Bob Hugin,republican,FALSE,1357355,3169310
new_jersey,2018,US Senate,Madelyn R. Hoffman,green,FALSE,25150,3169310
new_jersey,2018,US Senate,Murray Sabrin,libertarian,FALSE,21212,3169310
new_jersey,2018,US Senate,Natalie Lynn Rivera,for the people,FALSE,19897,3169310
new_jersey,2018,US Senate,Tricia Flanagan,new day nj,FALSE,16101,3169310
new_jersey,2018,US Senate,Kevin Kimple,make it simple,FALSE,9087,3169310
new_jersey,2018,US Senate,Hank Schroeder,economic growth,FALSE,8854,3169310
new_mexico,2018,US Senate,Martin T Heinrich,democrat,FALSE,376998,697012
new_mexico,2018,US Senate,Gary E Johnson,libertarian,FALSE,107201,697012
new_mexico,2018,US Senate,Mick Rich,republican,FALSE,212813,697012
new_york,2018,US Senate,Kirsten E. Gillibrand,democrat,FALSE,3755489,6055151
new_york,2018,US Senate,Chele Chiavacci Farley,republican,FALSE,1730439,6055151
new_york,2018,US Senate,Chele Chiavacci Farley,conservative,FALSE,246171,6055151
new_york,2018,US Senate,Kirsten E. Gillibrand,working families,FALSE,160128,6055151
new_york,2018,US Senate,Kirsten E. Gillibrand,independence,FALSE,99325,6055151
new_york,2018,US Senate,Kirsten E. Gillibrand,women's equality,FALSE,41989,6055151
new_york,2018,US Senate,Chele Chiavacci Farley,reform,FALSE,21610,6055151
north_dakota,2018,US Senate,Kevin Cramer,republican,FALSE,179720,326138
north_dakota,2018,US Senate,Heidi Heitkamp,democratic-npl,FALSE,144376,326138
north_dakota,2018,US Senate,NA,NA,TRUE,2042,326138
ohio,2018,US Senate,Sherrod Brown,democrat,FALSE,2355923,4410898
ohio,2018,US Senate,NA,NA,TRUE,1012,4410898
ohio,2018,US Senate,Jim Renacci,republican,FALSE,2053963,4410898
pennsylvania,2018,US Senate,Robert P Casey Jr,democrat,FALSE,2777680,4994643
pennsylvania,2018,US Senate,Louis J. Barletta,republican,FALSE,2134848,4994643
pennsylvania,2018,US Senate,Neal Taylor Gale,green,FALSE,31208,4994643
pennsylvania,2018,US Senate,Dale R Kerns Jr,libertarian,FALSE,50907,4994643
rhode_island,2018,US Senate,Sheldon Whitehouse,democrat,FALSE,231477,376738
rhode_island,2018,US Senate,"Robert G. Flanders, Jr.",republican,FALSE,144421,376738
rhode_island,2018,US Senate,NA,NA,TRUE,840,376738
tennessee,2018,US Senate,Marsha Blackburn,republican,FALSE,1227483,2243740
tennessee,2018,US Senate,Phil Bredesen,democrat,FALSE,985450,2243740
tennessee,2018,US Senate,Trudy A. Austin,independent,FALSE,9455,2243740
tennessee,2018,US Senate,John Carico,independent,FALSE,3398,2243740
tennessee,2018,US Senate,Dean Hill,independent,FALSE,8717,2243740
tennessee,2018,US Senate,Kevin Lee McCants,independent,FALSE,1927,2243740
tennessee,2018,US Senate,Breton Phillips,independent,FALSE,2226,2243740
tennessee,2018,US Senate,Kris L. Todd,independent,FALSE,5084,2243740
texas,2018,US Senate,Ted Cruz,republican,FALSE,4260553,8371655
texas,2018,US Senate,Beto O'Rourke,democrat,FALSE,4045632,8371655
texas,2018,US Senate,Neal M. Dikeman,libertarian,FALSE,65470,8371655
utah,2018,US Senate,Mitt Romney,republican,FALSE,665215,1062845
utah,2018,US Senate,Jenny Wilson,democrat,FALSE,328541,1062845
utah,2018,US Senate,Tim Aalders,constitution,FALSE,28774,1062845
utah,2018,US Senate,Craig R. Bowden,libertarian,FALSE,27607,1062845
utah,2018,US Senate,Reed C. McCandless,independent american,FALSE,12708,1062845
vermont,2018,US Senate,Folasade Adeluola,independent,FALSE,1979,272624
vermont,2018,US Senate,Russell Beste,independent,FALSE,2763,272624
vermont,2018,US Senate,Bruce Busa,independent,FALSE,914,272624
vermont,2018,US Senate,Edward S. Gilbert Jr,independent,FALSE,2244,272624
vermont,2018,US Senate,Reid Kane,liberty union,FALSE,1171,272624
vermont,2018,US Senate,Brad J. Peacock,independent,FALSE,3787,272624
vermont,2018,US Senate,Bernie Sanders,independent,FALSE,183529,272624
vermont,2018,US Senate,Jon Svitavsky,independent,FALSE,1280,272624
vermont,2018,US Senate,Lawrence Zupan,republican,FALSE,74663,272624
vermont,2018,US Senate,NA,NA,TRUE,294,272624
virginia,2018,US Senate,Corey A. Stewart,republican,FALSE,1374313,3351373
virginia,2018,US Senate,Timothy M. Kaine,democrat,FALSE,1910370,3351373
virginia,2018,US Senate,Matt J. Waters,libertarian,FALSE,61565,3351373
virginia,2018,US Senate,NA,NA,TRUE,5125,3351373
washington,2018,US Senate,Maria Cantwell,democrat,FALSE,1803364,3086168
washington,2018,US Senate,Susan Hutchison,republican,FALSE,1282804,3086168
west_virginia,2018,US Senate,Joe Manchin,democrat,FALSE,288808,582911
west_virginia,2018,US Senate,Patrick Morrisey,republican,FALSE,269872,582911
west_virginia,2018,US Senate,Rusty Hollen,libertarian,FALSE,24231,582911
wisconsin,2018,US Senate,Tammy Baldwin,democrat,FALSE,1472914,2657841
wisconsin,2018,US Senate,Leah Vukmir,republican,FALSE,1184885,2657841
wisconsin,2018,US Senate,NA,NA,TRUE,42,2657841
wyoming,2018,US Senate,John Barrasso,republican,FALSE,136210,203420
wyoming,2018,US Senate,Gary Trauner,democrat,FALSE,61227,203420
wyoming,2018,US Senate,Joseph Porambo,libertarian,FALSE,5658,203420
wyoming,2018,US Senate,NA,NA,TRUE,325,203420
