district,year,office,candidate,party,writein,candidatevotes,totalvotes,
connecticut2,2016,US House,Daria Novak,republican,FALSE,111149,330257,
connecticut2,2016,US House,Joe Courtney,democrat,FALSE,186210,330257,
connecticut3,2016,US House,NA,NA,TRUE,3,309379,
connecticut3,2016,US House,NA,NA,TRUE,18,309379,
connecticut3,2016,US House,Rosa L. DeLauro,working families,FALSE,21298,309379,
connecticut3,2016,US House,Rosa L. DeLauro,democrat,FALSE,192274,309379,
connecticut3,2016,US House,Angel Cadena,republican,FALSE,95786,309379,
connecticut4,2016,US House,John Shaban,independent,FALSE,5071,313540,
connecticut4,2016,US House,James A. Himes,democrat,FALSE,187811,313540,
connecticut4,2016,US House,John Shaban,republican,FALSE,120653,313540,
connecticut4,2016,US House,NA,NA,TRUE,5,313540,
connecticut5,2016,US House,Clay Cope,independent,FALSE,4901,309082,
connecticut5,2016,US House,Elizabeth H. Etsy,democrat,FALSE,163499,309082,
connecticut5,2016,US House,Clay Cope,republican,FALSE,124900,309082,
connecticut5,2016,US House,NA,NA,TRUE,1,309082,
connecticut5,2016,US House,Elizabeth H. Etsy,working families,FALSE,15753,309082,
connecticut5,2016,US House,NA,NA,TRUE,28,309082,
delaware1,2016,US House,Hans Reigle,republican,FALSE,172301,420617,
delaware1,2016,US House,Lisa Blunt Rochester,democrat,FALSE,233554,420617,
delaware1,2016,US House,Mark J. Perri,green,FALSE,8326,420617,
delaware1,2016,US House,Scott A. Gesty,libertarian,FALSE,6436,420617,
florida1,2016,US House,Matt Gaetz,republican,FALSE,255107,369186,
florida1,2016,US House,Steven Specht,democrat,FALSE,114079,369186,
florida2,2016,US House,Walter Dartland,democrat,FALSE,102801,343362,
florida2,2016,US House,NA,NA,TRUE,3,343362,
florida2,2016,US House,Rob Lapham,libertarian,FALSE,9395,343362,
florida2,2016,US House,Neal Dunn,republican,FALSE,231163,343362,
florida3,2016,US House,"Kenneth """"Ken"""" McGurn",democrat,FALSE,136338,342700,
florida3,2016,US House,Ted S. Yoho,republican,FALSE,193843,342700,
florida3,2016,US House,Tom Wells,none,FALSE,12519,342700,
florida4,2016,US House,NA,NA,TRUE,11,409662,
florida4,2016,US House,David E. Bruderly,democrat,FALSE,113088,409662,
florida4,2016,US House,John Rutherford,republican,FALSE,287509,409662,
florida4,2016,US House,Gary L. Koniz,none,FALSE,9054,409662,
florida5,2016,US House,Glo Smith,republican,FALSE,108325,302874,
florida5,2016,US House,Al Lawson,democrat,FALSE,194549,302874,
florida6,2016,US House,"William """"Bill"""" McCullough",democrat,FALSE,151051,364570,
florida6,2016,US House,Ron DeSantis,republican,FALSE,213519,364570,
florida7,2016,US House,NA,NA,TRUE,33,353655,
florida7,2016,US House,John L. Mica,republican,FALSE,171583,353655,
florida7,2016,US House,Stephanie Murphy,democrat,FALSE,182039,353655,
florida8,2016,US House,Corry Westbrook,democrat,FALSE,127127,390561,
florida8,2016,US House,Bill Stinson,none,FALSE,16951,390561,
florida8,2016,US House,Bill Posey,republican,FALSE,246483,390561,
florida9,2016,US House,Darren Soto,democrat,FALSE,195311,339761,
florida9,2016,US House,Wayne Liebnitzky,republican,FALSE,144450,339761,
florida10,2016,US House,Val Demings,democrat,FALSE,198491,305989,
florida10,2016,US House,Thuy Lowe,republican,FALSE,107498,305989,
florida11,2016,US House,Dave Koller,democrat,FALSE,124713,394719,
florida11,2016,US House,Daniel Webster,republican,FALSE,258016,394719,
florida11,2016,US House,Bruce Ray Riggs,none,FALSE,11990,394719,
florida12,2016,US House,Gus M. Bilirakis,republican,FALSE,253559,369669,
florida12,2016,US House,Robert Matthew Tager,democrat,FALSE,116110,369669,
florida13,2016,US House,Charlie Crist,democrat,FALSE,184693,355842,
florida13,2016,US House,David W Jolly,republican,FALSE,171149,355842,
florida14,2016,US House,Kathy Castor,democrat,FALSE,195789,316877,
florida14,2016,US House,Christine Quinn,republican,FALSE,121088,316877,
florida15,2016,US House,Dennis A. Ross,republican,FALSE,182999,318474,
florida15,2016,US House,Jim Lange,democrat,FALSE,135475,318474,
florida16,2016,US House,Vern Buchanan,republican,FALSE,230654,385916,
florida16,2016,US House,Jan Schneider,democrat,FALSE,155262,385916,
florida17,2016,US House,April Freeman,democrat,FALSE,115974,338675,
florida17,2016,US House,Thomas J. Rooney,republican,FALSE,209348,338675,
florida17,2016,US House,John W. Sawyer III,none,FALSE,13353,338675,
florida18,2016,US House,NA,NA,TRUE,9,375918,
florida18,2016,US House,Brian Mast,republican,FALSE,201488,375918,
florida18,2016,US House,Carla Spalding,none,FALSE,12503,375918,
florida18,2016,US House,Randy Perkins,democrat,FALSE,161918,375918,
florida19,2016,US House,Francis Rooney,republican,FALSE,239225,363166,
florida19,2016,US House,NA,NA,TRUE,20,363166,
florida19,2016,US House,NA,NA,TRUE,109,363166,
florida19,2016,US House,Robert M. Neeld,democrat,FALSE,123812,363166,
florida20,2016,US House,Gary Stein,republican,FALSE,54646,277560,
florida20,2016,US House,Alcee L. Hastings,democrat,FALSE,222914,277560,
florida21,2016,US House,Paul Spain,republican,FALSE,118038,335861,
florida21,2016,US House,Lois Frankel,democrat,FALSE,210606,335861,
florida21,2016,US House,"W. Michael """"Mike"""" Trout",none,FALSE,7217,335861,
florida22,2016,US House,Andrea Leigh McGee,republican,FALSE,138737,337850,
florida22,2016,US House,Theodore E. Deutch,democrat,FALSE,199113,337850,
florida23,2016,US House,Debbie Wasserman Schultz,democrat,FALSE,183225,323120,
florida23,2016,US House,Don Endriss,none,FALSE,5180,323120,
florida23,2016,US House,Lyle Milstein,none,FALSE,3897,323120,
florida23,2016,US House,"Joseph """"Joe"""" Kaufman",republican,FALSE,130818,323120,
florida25,2016,US House,Alina Valdes,democrat,FALSE,95319,253240,
florida25,2016,US House,Mario Diaz-Balart,republican,FALSE,157921,253240,
florida26,2016,US House,Jose Peixoto,none,FALSE,16502,280542,
florida26,2016,US House,Carlos Curbelo,republican,FALSE,148547,280542,
florida26,2016,US House,Joe Garcia,democrat,FALSE,115493,280542,
florida27,2016,US House,Ileana Ros-Lehtinen,republican,FALSE,157917,287677,
florida27,2016,US House,Scott Fuhrman,democrat,FALSE,129760,287677,
georgia1,2016,US House,NA,NA,TRUE,869,211112,
georgia1,2016,US House,"Earl L. """"Buddy"""" Carter",republican,FALSE,210243,211112,
georgia2,2016,US House,Sanford D. Bishop Jr,democrat,FALSE,148543,242599,
georgia2,2016,US House,Greg Duke,republican,FALSE,94056,242599,
georgia3,2016,US House,Angela Pendley,democrat,FALSE,95969,303187,
georgia3,2016,US House,Drew Ferguson,republican,FALSE,207218,303187,
georgia4,2016,US House,"Henry C. """"Hank"""" Johnson Jr",democrat,FALSE,220146,290739,
georgia4,2016,US House,Victor Armendariz,republican,FALSE,70593,290739,
georgia5,2016,US House,Douglas Bell,republican,FALSE,46768,300549,
georgia5,2016,US House,John Lewis,democrat,FALSE,253781,300549,
georgia6,2016,US House,Rodney Stooksbury,democrat,FALSE,124917,326005,
georgia6,2016,US House,Tom Price,republican,FALSE,201088,326005,
georgia7,2016,US House,Rashid Malik,democrat,FALSE,114220,288301,
georgia7,2016,US House,Rob Woodall,republican,FALSE,174081,288301,
georgia8,2016,US House,Austin Scott,republican,FALSE,173983,257208,
georgia8,2016,US House,James Neal Harris,democrat,FALSE,83225,257208,
georgia9,2016,US House,Doug Collins,republican,FALSE,256535,256535,
georgia10,2016,US House,NA,NA,TRUE,210,244821,
georgia10,2016,US House,Jody B. Hice,republican,FALSE,243725,244821,
georgia10,2016,US House,NA,NA,TRUE,886,244821,
georgia11,2016,US House,Barry Loudermilk,republican,FALSE,217935,323318,
georgia11,2016,US House,Don Wilson,democrat,FALSE,105383,323318,
georgia12,2016,US House,Rick W. Allen,republican,FALSE,159492,258912,
georgia12,2016,US House,Patricia C. McCracken,democrat,FALSE,99420,258912,
georgia13,2016,US House,David Scott,democrat,FALSE,252833,252833,
georgia14,2016,US House,Tom Graves,republican,FALSE,216743,216743,
hawaii1,2016,US House,"Calvin """"G"""" Griffin",none,FALSE,4381,213531,
hawaii1,2016,US House,Blank Vote,,FALSE,11013,213531,
hawaii1,2016,US House,Colleen Wakako Hanabusa,democrat,FALSE,145417,213531,
hawaii1,2016,US House,Over Vote,,FALSE,161,213531,
hawaii1,2016,US House,Alan J. K. Yim,libertarian,FALSE,6601,213531,
hawaii1,2016,US House,"Shirlene D. """"Shirl"""" Ostrov",republican,FALSE,45958,213531,
hawaii2,2016,US House,Angela Aulani Kaaihue,republican,FALSE,39668,224133,
hawaii2,2016,US House,Blank Vote,,FALSE,13483,224133,
hawaii2,2016,US House,Tulsi Gabbard,democrat,FALSE,170848,224133,
hawaii2,2016,US House,Over Vote,,FALSE,134,224133,
idaho1,2016,US House,Ra_l R. Labrador,republican,FALSE,242252,355357,
idaho1,2016,US House,NA,NA,TRUE,53,355357,
idaho1,2016,US House,James Piotrowski,democrat,FALSE,113052,355357,
idaho2,2016,US House,Michael K. Simpson,republican,FALSE,205292,326237,
idaho2,2016,US House,Anthony Tomkins,constitution,FALSE,25005,326237,
idaho2,2016,US House,Jennifer Martinez,democrat,FALSE,95940,326237,
illinois1,2016,US House,Bobby L. Rush,democrat,FALSE,234037,315862,
illinois1,2016,US House,NA,NA,TRUE,8,315862,
illinois1,2016,US House,"August """"O'Neill"""" Deuser",republican,FALSE,81817,315862,
illinois2,2016,US House,John F. Morrow,republican,FALSE,59471,294522,
illinois2,2016,US House,Robin L. Kelly,democrat,FALSE,235051,294522,
illinois3,2016,US House,Daniel Lipinski,democrat,FALSE,225320,225411,
illinois3,2016,US House,Diane Harris,,TRUE,91,225411,
illinois4,2016,US House,Luis V. Guti_rrez,democrat,FALSE,171297,171297,
illinois5,2016,US House,Vince Kolber,republican,FALSE,86222,313724,
illinois5,2016,US House,Mike Quigley,democrat,FALSE,212842,313724,
illinois5,2016,US House,NA,NA,TRUE,3,313724,
illinois5,2016,US House,Rob Sherman,green,FALSE,14657,313724,
illinois6,2016,US House,Peter J. Roskam,republican,FALSE,208555,352146,
illinois6,2016,US House,Amanda Howland,democrat,FALSE,143591,352146,
illinois7,2016,US House,Jeffrey A. Leef,republican,FALSE,46882,297466,
illinois7,2016,US House,Danny K. Davis,democrat,FALSE,250584,297466,
illinois8,2016,US House,Raja Krishnamoorthi,democrat,FALSE,144954,248571,
illinois8,2016,US House,"Peter """"Pete"""" DiCianni",republican,FALSE,103617,248571,
illinois9,2016,US House,Joan McCarthy Lasonde,republican,FALSE,109550,326948,
illinois9,2016,US House,Janice D. Schakowsky,democrat,FALSE,217306,326948,
illinois9,2016,US House,NA,NA,TRUE,79,326948,
illinois9,2016,US House,NA,NA,TRUE,13,326948,
illinois10,2016,US House,NA,NA,TRUE,26,285996,
illinois10,2016,US House,Brad Schneider,democrat,FALSE,150435,285996,
illinois10,2016,US House,Robert J. Dold,republican,FALSE,135535,285996,
