districtID,totalPop,male,female,medianAge,18andOver,65andOver,singleRace,black,nativeAmericanAlaskan,asian,pacificIslander,otherRace,multiRace,hispanic,nativeBorn,foreignBorn,
nevada3,846761,420486,426275,39.2,663679,133739,791533,69957,4236,121484,4340,56812,55228,154616,678015,168746,
nevada4,772433,384052,388381,36.9,576191,115640,728333,106135,10576,43538,7731,88254,44100,247081,645670,126763,
new_hampshire1,336928,349892,41.7,554549,120363,670121,13242,1723,17936,222,4956,16699,25149,645683,41137,
new_hampshire2,669638,332514,337124,44.3,543781,124793,656380,10190,1839,18112,293,4057,13258,27499,627773,41865,
new_jersey1,353252,378045,39.0,568216,113725,708411,129837,822,40308,63,50696,22886,105997,658413,72884,
new_jersey2,703117,346593,356524,43.3,558954,136834,680258,84924,2140,26713,255,42124,22859,115945,631283,71834,
new_jersey3,742905,363096,379809,43.0,588516,142831,719968,83511,745,26661,603,20144,22937,66367,677339,65566,
new_jersey4,748858,362215,386643,42.2,570618,147151,738120,48584,648,38402,92,12716,10738,76789,654626,94232,
new_jersey5,730707,354658,376049,43.1,572549,131230,710824,38676,2251,79469,0,12348,19883,106341,580852,149855,
new_jersey6,730114,362648,367466,38.0,574560,105000,708249,81928,2515,135462,385,35906,21865,165414,516922,213192,
new_jersey7,730778,356651,374127,43.0,566968,120534,713509,36153,871,83376,126,19338,17269,93377,593231,137547,
new_jersey8,764837,382900,381937,34.7,599653,82392,735173,74690,5422,76486,0,169696,29664,424366,421133,343704,
new_jersey9,765382,376643,388739,38.6,595784,110980,745149,74660,1710,102269,536,112714,20233,295861,463878,301504,
new_jersey10,759704,365555,394149,36.1,584542,98861,741515,390745,1661,54128,241,75887,18189,160348,528426,231278,
new_jersey11,744805,359454,385351,42.6,586824,132036,728462,30778,621,77937,266,12989,16343,91285,602098,142707,
